Date,Title,Genre,Studio,Theaters,Opening Gross,Opening Theaters,Gross
13.03.1992,Shakes the Clown,Comedy,IRS,9,$35 589 ,9,$115 103 
23.07.1993,Coneheads,Comedy,Par.,1 978,$7 100 501 ,1 978,$21 274 717 
05.08.1994,Airheads,Comedy,Fox,1 229,$1 911 739 ,1 228,$5 751 882 
21.12.1994,Mixed Nuts,Comedy,Sony,1 318,$2 307 850 ,1 318,$6 821 850 
10.02.1995,Billy Madison,Comedy,Uni.,1 887,$6 639 080 ,1 834,$25 588 734 
16.02.1996,Happy Gilmore,Comedy,Uni.,2 069,$8 514 125 ,2 022,$38 824 099 
06.09.1996,Bulletproof,Comedy,Uni.,2 242,$6 014 400 ,2 240,$21 576 954 
13.02.1998,The Wedding Singer,Romantic Comedy,NL,2 837,$18 865 080 ,2 821,$80 245 725 
12.06.1998,Dirty Work,Comedy,MGM,1 776,$3 634 236 ,1 776,$10 023 282 
06.11.1998,The Waterboy,Comedy,BV,2 782,$39 414 071 ,2 664,$161 491 646 
25.06.1999,Big Daddy,Comedy,Sony,3 254,$41 536 370 ,3 027,$163 479 795 
10.11.2000,Little Nicky,Comedy,NL,2 910,$16 063 904 ,2 910,$39 464 775 
01.06.2001,The Animal,Comedy,SonR,2 788,$19 610 520 ,2 788,$57 743 062 
28.06.2002,Mr. Deeds,Comedy,Sony,3 239,$37 162 787 ,3 231,$126 293 452 
11.10.2002,Punch-Drunk Love,Romantic Comedy,SonR,1 293,$367 203 ,5,$17 844 216 
13.12.2002,The Hot Chick,Comedy,BV,2 246,$7 401 146 ,2 217,$35 081 594 
11.04.2003,Anger Management,Comedy,SonR,3 656,$42 220 847 ,3 551,$135 645 823 
13.02.2004,50 First Dates,Romantic Comedy,Sony,3 612,$39 852 237 ,3 591,$120 908 074 
17.12.2004,Spanglish,Romantic Comedy,Sony,2 587,$8 817 853 ,2 438,$42 726 869 
27.05.2005,The Longest Yard,Comedy,Par.,3 654,$47 606 480 ,3 634,$158 119 460 
23.06.2006,Click,Comedy,SonR,3 764,$40 011 365 ,3 749,$137 355 633 
23.03.2007,Reign Over Me,Drama,Sony,1 747,$7 460 690 ,1 671,$19 661 987 
20.07.2007,I Now Pronounce You Chuck and Larry,Comedy,Uni.,3 501,$34 233 750 ,3 495,$120 059 556 
06.06.2008,You Don't Mess with the Zohan,Comedy,Sony,3 466,$38 531 374 ,3 462,$100 018 837 
25.12.2008,Bedtime Stories,Comedy,BV,3 684,$27 450 296 ,3 681,$110 101 975 
31.07.2009,Funny People,Comedy,Uni.,3 008,$22 657 780 ,3 007,$51 855 045 
25.06.2010,Grown Ups,Comedy,Sony,3 534,$40 506 562 ,3 534,$162 001 186 
11.02.2011,Just Go With It,Comedy,Sony,3 548,$30 514 732 ,3 548,$103 028 109 
11.11.2011,Jack and Jill,Comedy,Sony,3 438,$25 003 575 ,3 438,$74 158 157 
15.06.2012,That's My Boy,Comedy,Sony,3 030,$13 453 714 ,3 030,$36 931 089 
12.07.2013,Grown Ups 2,Comedy,Sony,3 491,$41 508 572 ,3 491,$133 668 525 
